FREQ = 1.5E10
0.475 -0.075 0 16.1871167819214
0.475 -0.065 0 15.3572755858718
0.475 -0.055 0 14.4881865921963
0.475 -0.045 0 15.6011282889657
0.475 -0.035 0 19.2264875226032
0.475 -0.025 0 23.8782860459632
0.475 -0.015 0 27.906452375649
0.475 -0.005 0 30.1892010473433
0.475 0.005 0 30.1892095235366
0.475 0.015 0 27.9064775745268
0.475 0.025 0 23.8782932097997
0.475 0.035 0 19.2265256031584
0.475 0.045 0 15.601182719974
0.475 0.055 0 14.4882038089858
0.475 0.065 0 15.3572953034624
0.485 -0.075 0 16.0843877097138
0.485 -0.065 0 15.1520756004674
0.485 -0.055 0 14.326830567424
0.485 -0.045 0 15.4367972353163
0.485 -0.035 0 18.8475877709809
0.485 -0.025 0 23.1755142523577
0.485 -0.015 0 26.8984743413737
0.485 -0.005 0 29.0060091948807
0.485 0.005 0 29.00599982434
0.485 0.015 0 26.8984601650378
0.485 0.025 0 23.1755188815093
0.485 0.035 0 18.8475741816618
0.485 0.045 0 15.4367799002044
0.485 0.055 0 14.3268219811386
0.485 0.065 0 15.1520328478764
0.495 -0.075 0 15.9449928124005
0.495 -0.065 0 14.9234965547834
0.495 -0.055 0 14.1474405569611
0.495 -0.045 0 15.2435499559433
0.495 -0.035 0 18.4569205944487
0.495 -0.025 0 22.4829803198081
0.495 -0.015 0 25.935783910818
0.495 -0.005 0 27.8856103609083
0.495 0.005 0 27.8856220103871
0.495 0.015 0 25.9357988150629
0.495 0.025 0 22.4829912130473
0.495 0.035 0 18.456951466319
0.495 0.045 0 15.2435848766032
0.495 0.055 0 14.1474550638434
0.495 0.065 0 14.9235131449349
0.505 -0.075 0 15.7595721998551
0.505 -0.065 0 14.6886741937258
0.505 -0.055 0 13.9621777235787
0.505 -0.045 0 15.0489122829873
0.505 -0.035 0 18.0797350301906
0.505 -0.025 0 21.8332956720128
0.505 -0.015 0 25.0323252301833
0.505 -0.005 0 26.8424451670021
0.505 0.005 0 26.8424431071519
0.505 0.015 0 25.0323232384408
0.505 0.025 0 21.8332946621557
0.505 0.035 0 18.0797063048052
0.505 0.045 0 15.0488570794093
0.505 0.055 0 13.9621377545717
0.505 0.065 0 14.6886507382588
0.515 -0.075 0 15.5595903706084
0.515 -0.065 0 14.4340618361196
0.515 -0.055 0 13.7564076686458
0.515 -0.045 0 14.8271793139582
0.515 -0.035 0 17.6872744585425
0.515 -0.025 0 21.1883073169
0.515 -0.015 0 24.1661264388618
0.515 -0.005 0 25.8455157734842
0.515 0.005 0 25.8455138459784
0.515 0.015 0 24.1661286276122
0.515 0.025 0 21.1883117582085
0.515 0.035 0 17.6873154629645
0.515 0.045 0 14.8272512358437
0.515 0.055 0 13.7564519272358
0.515 0.065 0 14.4340882324494
0.525 -0.075 0 15.3272395520795
0.525 -0.065 0 14.1843827092339
0.525 -0.055 0 13.5554853727848
0.525 -0.045 0 14.606566003788
0.525 -0.035 0 17.3047211493389
0.525 -0.025 0 20.5767229707841
0.525 -0.015 0 23.3468423352797
0.525 -0.005 0 24.9067839412227
0.525 0.005 0 24.9067832486061
0.525 0.015 0 23.3468308921467
0.525 0.025 0 20.5767134112172
0.525 0.035 0 17.3046747102203
0.525 0.045 0 14.6064846923083
0.525 0.055 0 13.5554421398616
0.525 0.065 0 14.1843698878645
0.535 -0.075 0 15.0813317063875
0.535 -0.065 0 13.9147906403101
0.535 -0.055 0 13.3318605277974
0.535 -0.045 0 14.3617694362902
0.535 -0.035 0 16.9131404556396
0.535 -0.025 0 19.9773530831318
0.535 -0.015 0 22.5636459870893
0.535 -0.005 0 24.0151674577377
0.535 0.005 0 24.0151715227729
0.535 0.015 0 22.5636585276666
0.535 0.025 0 19.9773673341327
0.535 0.035 0 16.9131650631242
0.535 0.045 0 14.3617947456659
0.535 0.055 0 13.3318598043814
0.535 0.065 0 13.9147918637968
0.545 -0.075 0 14.8239740010761
0.545 -0.065 0 13.658744486095
0.545 -0.055 0 13.1185321379643
0.545 -0.045 0 14.1246662463785
0.545 -0.035 0 16.5379575918831
0.545 -0.025 0 19.4092318972174
0.545 -0.015 0 21.8211354926272
0.545 -0.005 0 23.1730452179542
0.545 0.005 0 23.1730469806692
0.545 0.015 0 21.8211382581693
0.545 0.025 0 19.4092222498815
0.545 0.035 0 16.5379386890452
0.545 0.045 0 14.1246413599125
0.545 0.055 0 13.1185300917402
0.545 0.065 0 13.658738404427
0.555 -0.075 0 14.5593840518684
0.555 -0.065 0 13.3835330627906
0.555 -0.055 0 12.8848260171164
0.555 -0.045 0 13.8705536376405
0.555 -0.035 0 16.1561838965026
0.555 -0.025 0 18.8505650936685
0.555 -0.015 0 21.1082471213863
0.555 -0.005 0 22.3694054262912
0.555 0.005 0 22.3694028010171
0.555 0.015 0 21.1082398324824
0.555 0.025 0 18.8505782028321
0.555 0.035 0 16.1562070533936
0.555 0.045 0 13.8705782835664
0.555 0.055 0 12.8848312860493
0.555 0.065 0 13.3835375687556
0.565 -0.075 0 14.2821309368784
0.565 -0.065 0 13.1249597619036
0.565 -0.055 0 12.667875840225
0.565 -0.045 0 13.6283193283572
0.565 -0.035 0 15.7923339704055
0.565 -0.025 0 18.3225222757504
0.565 -0.015 0 20.4329577216489
0.565 -0.005 0 21.6125299788031
0.565 0.005 0 21.6125424130597
0.565 0.015 0 20.4329738207541
0.565 0.025 0 18.3225443738511
0.565 0.035 0 15.7923424734269
0.565 0.045 0 13.6283104371758
0.565 0.055 0 12.6678773707422
0.565 0.065 0 13.1249591535996
0.575 -0.075 0 14.0059163525883
0.575 -0.065 0 12.8571853015425
0.575 -0.055 0 12.4364994350131
0.575 -0.045 0 13.3698450280965
0.575 -0.035 0 15.4217858985618
0.575 -0.025 0 17.8014134547188
0.575 -0.015 0 19.7826830232075
0.575 -0.005 0 20.888383864431
0.575 0.005 0 20.8883749130758
0.575 0.015 0 19.7826640844575
0.575 0.025 0 17.8013896161785
0.575 0.035 0 15.4217837384732
0.575 0.045 0 13.3698452771788
0.575 0.055 0 12.4364884217035
0.575 0.065 0 12.8571818344448
0.585 -0.075 0 13.7276141135794
0.585 -0.065 0 12.6055449312976
0.585 -0.055 0 12.2198949527978
0.585 -0.045 0 13.1256206234869
0.585 -0.035 0 15.0682459129117
0.585 -0.025 0 17.3089669544106
0.585 -0.015 0 19.168988458553
0.585 -0.005 0 20.2056972499438
0.585 0.005 0 20.2057044058226
0.585 0.015 0 19.1690076623981
