 "Frequency in Hz"  1.1000001E+10
          Theta(deg)            Phi(deg)        Magn(Etheta)       Phase(Etheta)          Magn(Ephi)         Phase(Ephi)            Total_dB
   0.0000000000E+000   0.0000000000E+000   0.1262016147E+000   0.6950434113E+002   0.2369686127E+002   0.4697610092E+002   0.6330713654E+002
   0.0000000000E+000   0.2000000000E+001   0.8904332519E+000   0.5425980759E+002   0.2368048096E+002   0.4696643448E+002   0.6330715179E+002
   0.0000000000E+000   0.4000000000E+001   0.1712858319E+001   0.5074817657E+002   0.2363521576E+002   0.4695698166E+002   0.6330714417E+002
   0.0000000000E+000   0.6000000000E+001   0.2535449505E+001   0.4951552582E+002   0.2356117630E+002   0.4694736481E+002   0.6330714417E+002
   0.0000000000E+000   0.8000000000E+001   0.3355558395E+001   0.4888641739E+002   0.2345842743E+002   0.4693766022E+002   0.6330714417E+002
   0.0000000000E+000   0.1000000000E+002   0.4171830654E+001   0.4850415039E+002   0.2332708931E+002   0.4692788696E+002   0.6330713654E+002
   0.0000000000E+000   0.1200000000E+002   0.4983120441E+001   0.4824662399E+002   0.2316735840E+002   0.4691794586E+002   0.6330715179E+002
   0.0000000000E+000   0.1400000000E+002   0.5788430214E+001   0.4806110764E+002   0.2297933578E+002   0.4690795135E+002   0.6330710983E+002
   0.0000000000E+000   0.1600000000E+002   0.6586735725E+001   0.4792067337E+002   0.2276342201E+002   0.4689764786E+002   0.6330715942E+002
   0.0000000000E+000   0.1800000000E+002   0.7377050400E+001   0.4781043625E+002   0.2251972771E+002   0.4688737488E+002   0.6330717087E+002
   0.0000000000E+000   0.2000000000E+002   0.8158374786E+001   0.4772163010E+002   0.2224855804E+002   0.4687646484E+002   0.6330714417E+002
   0.0000000000E+000   0.2200000000E+002   0.8929792404E+001   0.4764807129E+002   0.2195029640E+002   0.4686553192E+002   0.6330712891E+002
   0.0000000000E+000   0.2400000000E+002   0.9690332413E+001   0.4758625793E+002   0.2162533951E+002   0.4685438156E+002   0.6330714798E+002
   0.0000000000E+000   0.2600000000E+002   0.1043912220E+002   0.4753333664E+002   0.2127403450E+002   0.4684272385E+002   0.6330718613E+002
   0.0000000000E+000   0.2800000000E+002   0.1117512894E+002   0.4748741913E+002   0.2089673042E+002   0.4683058167E+002   0.6330712891E+002
   0.0000000000E+000   0.3000000000E+002   0.1189756393E+002   0.4744729614E+002   0.2049403381E+002   0.4681811142E+002   0.6330714417E+002
   0.0000000000E+000   0.3200000000E+002   0.1260551357E+002   0.4741151047E+002   0.2006631088E+002   0.4680525208E+002   0.6330710983E+002
   0.0000000000E+000   0.3400000000E+002   0.1329813194E+002   0.4737956619E+002   0.1961428833E+002   0.4679154968E+002   0.6330719376E+002
   0.0000000000E+000   0.3600000000E+002   0.1397449684E+002   0.4735076904E+002   0.1913820839E+002   0.4677732086E+002   0.6330714417E+002
   0.0000000000E+000   0.3800000000E+002   0.1463384724E+002   0.4732445145E+002   0.1863887024E+002   0.4676222610E+002   0.6330713272E+002
   0.0000000000E+000   0.4000000000E+002   0.1527540016E+002   0.4730062866E+002   0.1811680412E+002   0.4674652863E+002   0.6330712128E+002
   0.0000000000E+000   0.4200000000E+002   0.1589833355E+002   0.4727857971E+002   0.1757277489E+002   0.4672969055E+002   0.6330717468E+002
   0.0000000000E+000   0.4400000000E+002   0.1650190926E+002   0.4725807571E+002   0.1700719833E+002   0.4671162033E+002   0.6330714798E+002
   0.0000000000E+000   0.4600000000E+002   0.1708537674E+002   0.4723925781E+002   0.1642096329E+002   0.4669243622E+002   0.6330715179E+002
   0.0000000000E+000   0.4800000000E+002   0.1764803314E+002   0.4722141647E+002   0.1581471825E+002   0.4667181778E+002   0.6330715561E+002
   0.0000000000E+000   0.5000000000E+002   0.1818917274E+002   0.4720473862E+002   0.1518921852E+002   0.4664958954E+002   0.6330715561E+002
   0.0000000000E+000   0.5200000000E+002   0.1870814705E+002   0.4718896484E+002   0.1454518127E+002   0.4662547684E+002   0.6330713272E+002
   0.0000000000E+000   0.5400000000E+002   0.1920436859E+002   0.4717420197E+002   0.1388346863E+002   0.4659904099E+002   0.6330715942E+002
   0.0000000000E+000   0.5600000000E+002   0.1967716026E+002   0.4715985870E+002   0.1320478344E+002   0.4656968689E+002   0.6330713272E+002
   0.0000000000E+000   0.5800000000E+002   0.2012597275E+002   0.4714640045E+002   0.1251007366E+002   0.4653730011E+002   0.6330712891E+002
   0.0000000000E+000   0.6000000000E+002   0.2055027008E+002   0.4713353729E+002   0.1180010605E+002   0.4650107193E+002   0.6330711746E+002
   0.0000000000E+000   0.6200000000E+002   0.2094958496E+002   0.4712104797E+002   0.1107575226E+002   0.4646003723E+002   0.6330714417E+002
   0.0000000000E+000   0.6400000000E+002   0.2132333183E+002   0.4710921860E+002   0.1033792019E+002   0.4641324234E+002   0.6330713272E+002
   0.0000000000E+000   0.6600000000E+002   0.2167110634E+002   0.4709747314E+002   0.9587536812E+001   0.4635926819E+002   0.6330714798E+002
   0.0000000000E+000   0.6800000000E+002   0.2199249458E+002   0.4708618164E+002   0.8825463295E+001   0.4629606628E+002   0.6330715942E+002
   0.0000000000E+000   0.7000000000E+002   0.2228703117E+002   0.4707543564E+002   0.8052618980E+001   0.4622072601E+002   0.6330712128E+002
   0.0000000000E+000   0.7200000000E+002   0.2255449677E+002   0.4706466293E+002   0.7270013809E+001   0.4612932968E+002   0.6330715561E+002
   0.0000000000E+000   0.7400000000E+002   0.2279440117E+002   0.4705432892E+002   0.6478554726E+001   0.4601568604E+002   0.6330712128E+002
   0.0000000000E+000   0.7600000000E+002   0.2300662613E+002   0.4704407501E+002   0.5679241657E+001   0.4587020111E+002   0.6330715942E+002
   0.0000000000E+000   0.7800000000E+002   0.2319075775E+002   0.4703406525E+002   0.4873056889E+001   0.4567698288E+002   0.6330714798E+002
   0.0000000000E+000   0.8000000000E+002   0.2334662819E+002   0.4702416611E+002   0.4061027050E+001   0.4540630341E+002   0.6330713272E+002
