 Values of the electric field strength in the far field V
 "Frequency in Hz"  1.1000001E+10
          Theta(deg)            Phi(deg)        Magn(Etheta)       Phase(Etheta)          Magn(Ephi)         Phase(Ephi)            Total_dB
 "FarField Radiation"           1
   0.0000000000E+000   0.0000000000E+000   0.1295627207E+000   0.6921777344E+002   0.2370569420E+002   0.4696660614E+002   0.6331460571E+002
   0.0000000000E+000   0.4500000000E+002   0.1680310631E+002   0.4724695969E+002   0.1672224426E+002   0.4668478012E+002   0.6331462479E+002
   0.0000000000E+000   0.9000000000E+002   0.2370569992E+002   0.4696660614E+002   0.1295627356E+000   0.6921778870E+002   0.6331460953E+002
   0.0000000000E+000   0.1350000000E+003   0.1672224426E+002   0.4668478012E+002   0.1680310631E+002   0.4724695969E+002   0.6331462479E+002
   0.0000000000E+000   0.1800000000E+003   0.1295624971E+000   0.6921800232E+002   0.2370569801E+002   0.4696660233E+002   0.6331460571E+002
   0.3000000000E+002   0.0000000000E+000   0.6749405712E-001   0.8192477417E+002   0.2644036102E+002   0.1108681393E+002   0.6549790192E+002
   0.3000000000E+002   0.4500000000E+002   0.2123870850E+002   0.4142128754E+002   0.2175934792E+002   0.5240629196E+002   0.6829309082E+002
   0.3000000000E+002   0.9000000000E+002   0.2183412361E+002   0.2711002922E+002   0.1711501479E+000   0.8312768555E+002   0.6167009354E+002
   0.3000000000E+002   0.1350000000E+003   0.2074193573E+002   0.4120369339E+002   0.2168655968E+002   0.5266269302E+002   0.6802988434E+002
   0.3000000000E+002   0.1800000000E+003   0.8751200140E-001   0.7035895538E+002   0.2637413597E+002   0.1169246674E+002   0.6544778442E+002
   0.6000000000E+002   0.0000000000E+000   0.3357432485E+000   0.7165224457E+002   0.2486149216E+002   0.2961313629E+002   0.6426822662E+002
   0.6000000000E+002   0.4500000000E+002   0.2623773193E+002   0.3945356750E+002   0.2511686134E+002   0.4565728378E+002   0.7184838104E+002
   0.6000000000E+002   0.9000000000E+002   0.2696635628E+002   0.3925829697E+002   0.1570594162E+000   0.6255066299E+002   0.6589213562E+002
   0.6000000000E+002   0.1350000000E+003   0.2602022552E+002   0.4036952209E+002   0.2533635712E+002   0.4675127792E+002   0.7184616089E+002
   0.6000000000E+002   0.1800000000E+003   0.3190197945E+000   0.4137822342E+002   0.2480902481E+002   0.2991199684E+002   0.6422579956E+002
   0.9000000000E+002   0.0000000000E+000   0.5098470979E-007   0.8876872253E+002   0.2605546570E+002   0.1592087841E+002   0.6520455170E+002
   0.9000000000E+002   0.4500000000E+002   0.3836421911E-005   0.4000685501E+002   0.1869654465E+002   0.2435038757E+002   0.5856677628E+002
   0.9000000000E+002   0.9000000000E+002   0.3349674671E-005   0.3454940796E+001   0.9226430207E-001   0.6752239227E+002  -0.4766195679E+002
   0.9000000000E+002   0.1350000000E+003   0.3846362233E-005   0.3888191986E+002   0.1911466217E+002   0.2606662178E+002   0.5900911331E+002
