 Values of the electric field strength in the far field V
 "Frequency in Hz"  1.1000001E+10
          Theta(deg)            Phi(deg)        Magn(Etheta)       Phase(Etheta)          Magn(Ephi)         Phase(Ephi)            Total_dB
 "FarField Radiation"           1
   0.0000000000E+000   0.0000000000E+000   0.1262016147E+000   0.6950434113E+002   0.2369686127E+002   0.4697610092E+002   0.6330713654E+002
   0.0000000000E+000   0.2000000000E+002   0.8158374786E+001   0.4772163010E+002   0.2224855804E+002   0.4687646484E+002   0.6330714417E+002
   0.0000000000E+000   0.4000000000E+002   0.1527540016E+002   0.4730062866E+002   0.1811680412E+002   0.4674652863E+002   0.6330712128E+002
   0.0000000000E+000   0.6000000000E+002   0.2055027008E+002   0.4713353729E+002   0.1180010605E+002   0.4650107193E+002   0.6330711746E+002
   0.0000000000E+000   0.8000000000E+002   0.2334662819E+002   0.4702416611E+002   0.4061027050E+001   0.4540630341E+002   0.6330713272E+002
   0.0000000000E+000   0.1000000000E+003   0.2332708931E+002   0.4692788696E+002   0.4171830654E+001   0.4850415039E+002   0.6330713654E+002
   0.0000000000E+000   0.1200000000E+003   0.2049403381E+002   0.4681811142E+002   0.1189757156E+002   0.4744729614E+002   0.6330714417E+002
   0.0000000000E+000   0.1400000000E+003   0.1518921471E+002   0.4664959335E+002   0.1818917465E+002   0.4720477676E+002   0.6330715561E+002
   0.0000000000E+000   0.1600000000E+003   0.8052618027E+001   0.4622071075E+002   0.2228702927E+002   0.4707544327E+002   0.6330711746E+002
   0.0000000000E+000   0.1800000000E+003   0.1262012869E+000   0.6950556183E+002   0.2369686890E+002   0.4697610092E+002   0.6330714417E+002
   0.2000000000E+002   0.0000000000E+000   0.1648287475E+000   0.2719938087E+002   0.2857686234E+002   0.4497333527E+002   0.6705227661E+002
   0.2000000000E+002   0.2000000000E+002   0.7833606243E+001   0.7974613953E+002   0.1657563591E+002   0.1587242222E+002   0.5817459488E+002
   0.2000000000E+002   0.4000000000E+002   0.1278736591E+002   0.2697750330E+001   0.1439937210E+002   0.2028839302E+002   0.5915821075E+002
   0.2000000000E+002   0.6000000000E+002   0.1655746460E+002   0.4055670166E+002   0.9975096703E+001   0.1954551506E+002   0.5923325348E+002
   0.2000000000E+002   0.8000000000E+002   0.2029029655E+002   0.5145242310E+002   0.5357871056E+001   0.1328043079E+002   0.6087690353E+002
   0.2000000000E+002   0.1000000000E+003   0.2016317940E+002   0.5154537201E+002   0.5634568214E+001   0.1145926094E+002   0.6082908630E+002
   0.2000000000E+002   0.1200000000E+003   0.1615645599E+002   0.4079484177E+002   0.1010095310E+002   0.2056832504E+002   0.5894569016E+002
   0.2000000000E+002   0.1400000000E+003   0.1244914246E+002   0.4783007622E+001   0.1428158379E+002   0.2125710678E+002   0.5883168030E+002
   0.2000000000E+002   0.1600000000E+003   0.7824244976E+001   0.7878601074E+002   0.1650931168E+002   0.1609614372E+002   0.5810470581E+002
   0.2000000000E+002   0.1800000000E+003   0.1180896610E+000   0.8547966003E+002   0.2873447037E+002   0.4551360321E+002   0.6716211700E+002
   0.4000000000E+002   0.0000000000E+000   0.1698925495E+000   0.3408001184E+001   0.1145492744E+002   0.1830543327E+002   0.4877059937E+002
   0.4000000000E+002   0.2000000000E+002   0.9941428185E+001   0.5151373672E+002   0.2582094193E+002   0.4776608658E+002   0.6640598297E+002
   0.4000000000E+002   0.4000000000E+002   0.1852559471E+002   0.1990162134E+000   0.2013137245E+002   0.1931214523E+002   0.6618031311E+002
   0.4000000000E+002   0.6000000000E+002   0.1107338810E+002   0.7051211834E+001   0.9803600311E+001   0.2525743961E+001   0.5387840271E+002
   0.4000000000E+002   0.8000000000E+002   0.1905425262E+002   0.3090475273E+002   0.6705133915E+001   0.5584308624E+002   0.6011324310E+002
   0.4000000000E+002   0.1000000000E+003   0.1903310776E+002   0.3101586723E+002   0.6389584064E+001   0.5550336838E+002   0.5999149704E+002
   0.4000000000E+002   0.1200000000E+003   0.1126353073E+002   0.5643464088E+001   0.9983837128E+001   0.1641018271E+001   0.5422939682E+002
   0.4000000000E+002   0.1400000000E+003   0.1843772697E+002   0.1445326328E+001   0.2012390137E+002   0.1865828323E+002   0.6613278198E+002
   0.4000000000E+002   0.1600000000E+003   0.9823569298E+001   0.4967740631E+002   0.2625078392E+002   0.4771350861E+002   0.6666455841E+002
   0.4000000000E+002   0.1800000000E+003   0.1560705900E-001   0.1745960355E+001   0.1125611782E+002   0.1997251129E+002   0.4841825485E+002
   0.6000000000E+002   0.0000000000E+000   0.3320443332E+000   0.6961181641E+002   0.2486486435E+002   0.2959288788E+002   0.6427089691E+002
   0.6000000000E+002   0.2000000000E+002   0.8301933289E+001   0.6565923309E+002   0.1778903389E+002   0.3359938049E+002   0.5954208374E+002
   0.6000000000E+002   0.4000000000E+002   0.2195556068E+002   0.4297669220E+002   0.2739234543E+002   0.3447440720E+002   0.7116708374E+002
   0.6000000000E+002   0.6000000000E+002   0.3407515335E+002   0.3552589798E+002   0.1563536263E+002   0.2976787949E+002   0.7248205566E+002
   0.6000000000E+002   0.8000000000E+002   0.2765231705E+002   0.4792510986E+002   0.7855605602E+001   0.8124545288E+002   0.6717031860E+002
   0.6000000000E+002   0.1000000000E+003   0.2775024033E+002   0.4793201065E+002   0.7765984058E+001   0.8146443176E+002   0.6721891022E+002
   0.6000000000E+002   0.1200000000E+003   0.3423884201E+002   0.3619095230E+002   0.1585876656E+002   0.2955098534E+002   0.7261083984E+002
   0.6000000000E+002   0.1400000000E+003   0.2141442680E+002   0.4382135773E+002   0.2695293427E+002   0.3496039581E+002   0.7077530670E+002
   0.6000000000E+002   0.1600000000E+003   0.8248026848E+001   0.6638811493E+002   0.1807267380E+002   0.3215373611E+002   0.5978002930E+002
   0.6000000000E+002   0.1800000000E+003   0.3186102211E+000   0.3988069153E+002   0.2479298973E+002   0.2990383148E+002   0.6421286774E+002
   0.8000000000E+002   0.0000000000E+000   0.1924759448E+000   0.8384870148E+002   0.2653077698E+002   0.1380316925E+002   0.6556663513E+002
   0.8000000000E+002   0.2000000000E+002   0.4629141808E+001   0.8260126495E+002   0.3175591087E+002   0.1255625629E+002   0.6937184906E+002
   0.8000000000E+002   0.4000000000E+002   0.1349110508E+002   0.3209129333E+002   0.2696979332E+002   0.7313627720E+001   0.6812762451E+002
   0.8000000000E+002   0.6000000000E+002   0.1752328682E+002   0.2376327133E+002   0.1893518448E+002   0.6856509399E+002   0.6500698853E+002
   0.8000000000E+002   0.8000000000E+002   0.1446836281E+002   0.6306065559E+001   0.1211887002E+001   0.3117193222E+002   0.5350920105E+002
   0.8000000000E+002   0.1000000000E+003   0.1453833580E+002   0.6376713276E+001   0.1363544941E+001   0.3153870392E+002   0.5362335968E+002
   0.8000000000E+002   0.1200000000E+003   0.1780517578E+002   0.2302993202E+002   0.1864598465E+002   0.6780743408E+002   0.6499331665E+002
   0.8000000000E+002   0.1400000000E+003   0.1350038719E+002   0.3149295235E+002   0.2676635551E+002   0.8341102600E+001   0.6800947571E+002
   0.8000000000E+002   0.1600000000E+003   0.4625540257E+001   0.8285350800E+002   0.3179856491E+002   0.1236519623E+002   0.6939781189E+002
   0.8000000000E+002   0.1800000000E+003   0.1695925146E+000   0.4411333466E+002   0.2638876343E+002   0.1395214272E+002   0.6545918274E+002
   0.1000000000E+003   0.0000000000E+000   0.1924755424E+000   0.8384860229E+002   0.2653077888E+002   0.1380314541E+002   0.6556663513E+002
   0.1000000000E+003   0.2000000000E+002   0.4629148960E+001   0.8260131073E+002   0.3175591087E+002   0.1255628204E+002   0.6937184906E+002
   0.1000000000E+003   0.4000000000E+002   0.1349111271E+002   0.3209127045E+002   0.2696979332E+002   0.7313627720E+001   0.6812762451E+002
   0.1000000000E+003   0.6000000000E+002   0.1752329636E+002   0.2376321030E+002   0.1893517685E+002   0.6856507111E+002   0.6500698853E+002
   0.1000000000E+003   0.8000000000E+002   0.1446836567E+002   0.6306090832E+001   0.1211882830E+001   0.3117164803E+002   0.5350920868E+002
   0.1000000000E+003   0.1000000000E+003   0.1453833485E+002   0.6376735687E+001   0.1363542557E+001   0.3153881454E+002   0.5362335968E+002
   0.1000000000E+003   0.1200000000E+003   0.1780518532E+002   0.2302990913E+002   0.1864597893E+002   0.6780740356E+002   0.6499331665E+002
   0.1000000000E+003   0.1400000000E+003   0.1350039291E+002   0.3149293137E+002   0.2676636124E+002   0.8341124535E+001   0.6800947571E+002
   0.1000000000E+003   0.1600000000E+003   0.4625545502E+001   0.8285353851E+002   0.3179855728E+002   0.1236521149E+002   0.6939780426E+002
   0.1000000000E+003   0.1800000000E+003   0.1695915461E+000   0.4411298752E+002   0.2638875008E+002   0.1395212269E+002   0.6545916748E+002
   0.1200000000E+003   0.0000000000E+000   0.3320463598E+000   0.6961198425E+002   0.2486486626E+002   0.2959291649E+002   0.6427089691E+002
   0.1200000000E+003   0.2000000000E+002   0.8301923752E+001   0.6565919495E+002   0.1778903770E+002   0.3359938812E+002   0.5954208374E+002
   0.1200000000E+003   0.4000000000E+002   0.2195555687E+002   0.4297669983E+002   0.2739235115E+002   0.3447442245E+002   0.7116708374E+002
   0.1200000000E+003   0.6000000000E+002   0.3407514191E+002   0.3552590561E+002   0.1563535404E+002   0.2976785469E+002   0.7248204803E+002
   0.1200000000E+003   0.8000000000E+002   0.2765232086E+002   0.4792512894E+002   0.7855607986E+001   0.8124546051E+002   0.6717032623E+002
   0.1200000000E+003   0.1000000000E+003   0.2775024033E+002   0.4793202209E+002   0.7765991211E+001   0.8146443176E+002   0.6721891022E+002
   0.1200000000E+003   0.1200000000E+003   0.3423884583E+002   0.3619096756E+002   0.1585877228E+002   0.2955099678E+002   0.7261083984E+002
   0.1200000000E+003   0.1400000000E+003   0.2141442680E+002   0.4382141113E+002   0.2695292664E+002   0.3496041107E+002   0.7077529907E+002
   0.1200000000E+003   0.1600000000E+003   0.8248018265E+001   0.6638806152E+002   0.1807267380E+002   0.3215371704E+002   0.5978002548E+002
   0.1200000000E+003   0.1800000000E+003   0.3186112344E+000   0.3987973022E+002   0.2479298973E+002   0.2990386009E+002   0.6421286774E+002
   0.1400000000E+003   0.0000000000E+000   0.1698996127E+000   0.3408853292E+001   0.1145493984E+002   0.1830527496E+002   0.4877061844E+002
   0.1400000000E+003   0.2000000000E+002   0.9941435814E+001   0.5151384354E+002   0.2582091713E+002   0.4776615143E+002   0.6640596771E+002
   0.1400000000E+003   0.4000000000E+002   0.1852561378E+002   0.1990957111E+000   0.2013138390E+002   0.1931217194E+002   0.6618032837E+002
   0.1400000000E+003   0.6000000000E+002   0.1107339478E+002   0.7051276684E+001   0.9803620338E+001   0.2525787592E+001   0.5387842560E+002
   0.1400000000E+003   0.8000000000E+002   0.1905424309E+002   0.3090469933E+002   0.6705121517E+001   0.5584299088E+002   0.6011322784E+002
   0.1400000000E+003   0.1000000000E+003   0.1903309631E+002   0.3101579857E+002   0.6389570713E+001   0.5550334167E+002   0.5999148560E+002
   0.1400000000E+003   0.1200000000E+003   0.1126354694E+002   0.5643568039E+001   0.9983861923E+001   0.1641049385E+001   0.5422943497E+002
   0.1400000000E+003   0.1400000000E+003   0.1843772507E+002   0.1445238948E+001   0.2012391663E+002   0.1865827751E+002   0.6613279724E+002
   0.1400000000E+003   0.1600000000E+003   0.9823563576E+001   0.4967754364E+002   0.2625077820E+002   0.4771350861E+002   0.6666455078E+002
   0.1400000000E+003   0.1800000000E+003   0.1560560334E-001   0.1743900180E+001   0.1125613976E+002   0.1997232056E+002   0.4841829300E+002
   0.1600000000E+003   0.0000000000E+000   0.1648337394E+000   0.2719898224E+002   0.2857685280E+002   0.4497332382E+002   0.6705227661E+002
   0.1600000000E+003   0.2000000000E+002   0.7833623886E+001   0.7974617004E+002   0.1657562637E+002   0.1587245083E+002   0.5817459488E+002
   0.1600000000E+003   0.4000000000E+002   0.1278737068E+002   0.2697706461E+001   0.1439936256E+002   0.2028837395E+002   0.5915820694E+002
   0.1600000000E+003   0.6000000000E+002   0.1655748940E+002   0.4055669403E+002   0.9975072861E+001   0.1954547119E+002   0.5923326111E+002
   0.1600000000E+003   0.8000000000E+002   0.2029028320E+002   0.5145240402E+002   0.5357862949E+001   0.1328053761E+002   0.6087688446E+002
   0.1600000000E+003   0.1000000000E+003   0.2016317177E+002   0.5154536057E+002   0.5634567738E+001   0.1145942497E+002   0.6082908249E+002
   0.1600000000E+003   0.1200000000E+003   0.1615646172E+002   0.4079479980E+002   0.1010095024E+002   0.2056825638E+002   0.5894569397E+002
   0.1600000000E+003   0.1400000000E+003   0.1244912815E+002   0.4782938004E+001   0.1428160667E+002   0.2125705910E+002   0.5883169556E+002
   0.1600000000E+003   0.1600000000E+003   0.7824264050E+001   0.7878598785E+002   0.1650931740E+002   0.1609616089E+002   0.5810472107E+002
   0.1600000000E+003   0.1800000000E+003   0.1180910692E+000   0.8547887421E+002   0.2873446274E+002   0.4551360703E+002   0.6716210938E+002
   0.1800000000E+003   0.0000000000E+000   0.1262007505E+000   0.6950496674E+002   0.2369686127E+002   0.4697614288E+002   0.6330713654E+002
