 Values of the electric field strength in V/m 
 (total field,incident and scattered) 
 "Frequency in Hz"  1.1000001E+10
          Theta(deg)            Phi(deg)           radius(m)        Magn(Etheta)       Phase(Etheta)          Magn(Ephi)         Phase(Ephi)          Total(V/m)
 "NearField Radiation"           1
    0.0000    0.0000    1.0000    0.4908035755E+01    0.3888060760E+02    0.2227827263E+02    0.6689673615E+02    0.2281253815E+02
    0.0000   30.0000    1.0000    0.1070571709E+02    0.4492383575E+02    0.2009560394E+02    0.7366908264E+02    0.2276943970E+02
    0.0000   60.0000    1.0000    0.1871556282E+02    0.5988645554E+02    0.1296816826E+02    0.8511875916E+02    0.2276943970E+02
    0.0000   90.0000    1.0000    0.2224595833E+02    0.6702399445E+02    0.4854168892E+01    0.3961654282E+02    0.2276943970E+02
    0.0000  120.0000    1.0000    0.2009560394E+02    0.7366908264E+02    0.1070571804E+02    0.4492383957E+02    0.2276943970E+02
    0.0000  150.0000    1.0000    0.1296816540E+02    0.8511876678E+02    0.1871556664E+02    0.5988645935E+02    0.2276943970E+02
    0.0000  180.0000    1.0000    0.4854168415E+01    0.3961653519E+02    0.2224595833E+02    0.6702399445E+02    0.2276943970E+02
   20.0000    0.0000    1.0000    0.5191621304E+01    0.1155572057E+01    0.1842065239E+02    0.7299063873E+02    0.1913886642E+02
   20.0000   30.0000    1.0000    0.8017438889E+01    0.8626548004E+02    0.2537323952E+02    0.7806078339E+02    0.2661013794E+02
   20.0000   60.0000    1.0000    0.1497219467E+02    0.7942955780E+02    0.1620557213E+02    0.8338569641E+02    0.2206716156E+02
   20.0000   90.0000    1.0000    0.1724357224E+02    0.7122136688E+02    0.7470006466E+01    0.4212497234E+01    0.1881125641E+02
   20.0000  120.0000    1.0000    0.1672819519E+02    0.7226915741E+02    0.1427537251E+02    0.8927345276E+02    0.2199279594E+02
   20.0000  150.0000    1.0000    0.9182149887E+01    0.3011259079E+02    0.1968916321E+02    0.7739909363E+02    0.2172698212E+02
   20.0000  180.0000    1.0000    0.2467876911E+01    0.7953565216E+02    0.2947795486E+02    0.6226838303E+02    0.2958136749E+02
   40.0000    0.0000    1.0000    0.2908807755E+01    0.8042101288E+02    0.1777087784E+02    0.6626199341E+02    0.1800740242E+02
   40.0000   30.0000    1.0000    0.8891775131E+01    0.8783394623E+02    0.2849610901E+02    0.8209032440E+02    0.2986717415E+02
   40.0000   60.0000    1.0000    0.1621468163E+02    0.7154649353E+02    0.1668887329E+02    0.7121315765E+02    0.2327224159E+02
   40.0000   90.0000    1.0000    0.1509512520E+02    0.8957115936E+02    0.4803974152E+01    0.3937889099E+02    0.1588722706E+02
   40.0000  120.0000    1.0000    0.1404693604E+02    0.5350317764E+02    0.1637128639E+02    0.8457394409E+02    0.2157642555E+02
   40.0000  150.0000    1.0000    0.6213711262E+01    0.8118472290E+02    0.2687548447E+02    0.8436849213E+02    0.2760210228E+02
   40.0000  180.0000    1.0000    0.1775523067E+01    0.8664752197E+02    0.1475634098E+02    0.6289929581E+02    0.1486325932E+02
   60.0000    0.0000    1.0000    0.1116751432E+01    0.3988253403E+02    0.2093291092E+02    0.8751483154E+02    0.2096313477E+02
   60.0000   30.0000    1.0000    0.9518783569E+01    0.4245677567E+02    0.1312430382E+02    0.7757643127E+02    0.1624488258E+02
   60.0000   60.0000    1.0000    0.3356480408E+02    0.7371061707E+02    0.7570292950E+01    0.8287057495E+02    0.3441132355E+02
   60.0000   90.0000    1.0000    0.2957212639E+02    0.7764775085E+02    0.2907373905E+01    0.1251226711E+02    0.2974284172E+02
   60.0000  120.0000    1.0000    0.3419759750E+02    0.7946594238E+02    0.1957982254E+02    0.6200967789E+02    0.3940737534E+02
   60.0000  150.0000    1.0000    0.1039009285E+02    0.3829306793E+02    0.2193781471E+02    0.7270262146E+02    0.2428934860E+02
   60.0000  180.0000    1.0000    0.1939224362E+01    0.8949434280E+01    0.2631944084E+02    0.8412877655E+02    0.2639119339E+02
   80.0000    0.0000    1.0000    0.8338016272E+00    0.3771983385E+01    0.3020550156E+02    0.6813011169E+02    0.3021958351E+02
   80.0000   30.0000    1.0000    0.9445792198E+01    0.3582311249E+02    0.3071574593E+02    0.8652223969E+02    0.3213696671E+02
   80.0000   60.0000    1.0000    0.1794823265E+02    0.4126669312E+02    0.2144087219E+02    0.3591575241E+02    0.2797963524E+02
   80.0000   90.0000    1.0000    0.1374252701E+02    0.5921687317E+02    0.1179905415E+01    0.5901010132E+02    0.1379771137E+02
   80.0000  120.0000    1.0000    0.1989580536E+02    0.4064477921E+02    0.1907752419E+02    0.5174948120E+02    0.2758494759E+02
   80.0000  150.0000    1.0000    0.9238619804E+01    0.4507166672E+02    0.3457906342E+02    0.7055352020E+02    0.3579400635E+02
   80.0000  180.0000    1.0000    0.8666080832E+00    0.8825875092E+02    0.2736696434E+02    0.6090019608E+02    0.2738272095E+02
  100.0000    0.0000    1.0000    0.8338003755E+00    0.3772456408E+01    0.3020539284E+02    0.6812944794E+02    0.3021947289E+02
  100.0000   30.0000    1.0000    0.9445835114E+01    0.3582226181E+02    0.3071554756E+02    0.8652149963E+02    0.3213678741E+02
  100.0000   60.0000    1.0000    0.1794824982E+02    0.4126586151E+02    0.2144091988E+02    0.3591632843E+02    0.2797968292E+02
  100.0000   90.0000    1.0000    0.1374253559E+02    0.5921608353E+02    0.1179893732E+01    0.5901304245E+02    0.1379771996E+02
  100.0000  120.0000    1.0000    0.1989582634E+02    0.4064400482E+02    0.1907742119E+02    0.5175003433E+02    0.2758489227E+02
  100.0000  150.0000    1.0000    0.9238657951E+01    0.4507064819E+02    0.3457897186E+02    0.7055264282E+02    0.3579392242E+02
  100.0000  180.0000    1.0000    0.8665935397E+00    0.8825920868E+02    0.2736686134E+02    0.6089948654E+02    0.2738261795E+02
  120.0000    0.0000    1.0000    0.1116748214E+01    0.3988206863E+02    0.2093284607E+02    0.8751493835E+02    0.2096306992E+02
  120.0000   30.0000    1.0000    0.9518786430E+01    0.4245632553E+02    0.1312433052E+02    0.7757585144E+02    0.1624490547E+02
  120.0000   60.0000    1.0000    0.3356478882E+02    0.7371079254E+02    0.7570354939E+01    0.8287052917E+02    0.3441131973E+02
  120.0000   90.0000    1.0000    0.2957211876E+02    0.7764782715E+02    0.2907340765E+01    0.1251216221E+02    0.2974283028E+02
  120.0000  120.0000    1.0000    0.3419761658E+02    0.7946556854E+02    0.1957987404E+02    0.6200942612E+02    0.3940741348E+02
  120.0000  150.0000    1.0000    0.1039005661E+02    0.3829349136E+02    0.2193784714E+02    0.7270288086E+02    0.2428936195E+02
  120.0000  180.0000    1.0000    0.1939212322E+01    0.8949673653E+01    0.2631943703E+02    0.8412881470E+02    0.2639118767E+02
  140.0000    0.0000    1.0000    0.2908804417E+01    0.8042086792E+02    0.1777087402E+02    0.6626256561E+02    0.1800739861E+02
  140.0000   30.0000    1.0000    0.8891765594E+01    0.8783354950E+02    0.2849616432E+02    0.8209068298E+02    0.2986722183E+02
  140.0000   60.0000    1.0000    0.1621469688E+02    0.7154740143E+02    0.1668884468E+02    0.7121393585E+02    0.2327223206E+02
  140.0000   90.0000    1.0000    0.1509513855E+02    0.8957164001E+02    0.4803992748E+01    0.3937910843E+02    0.1588724327E+02
  140.0000  120.0000    1.0000    0.1404690552E+02    0.5350376511E+02    0.1637134933E+02    0.8457427979E+02    0.2157645226E+02
  140.0000  150.0000    1.0000    0.6213698387E+01    0.8118426514E+02    0.2687552643E+02    0.8436882782E+02    0.2760214043E+02
  140.0000  180.0000    1.0000    0.1775529265E+01    0.8664922333E+02    0.1475636292E+02    0.6289954758E+02    0.1486328316E+02
  160.0000    0.0000    1.0000    0.5191636562E+01    0.1155628085E+01    0.1842063332E+02    0.7299044800E+02    0.1913885307E+02
